type,subtype,organization
Resource,Action,5 Calls
Resource,Action,5 Minute Action
Resource,Information,538: Congress Trump Score
Resource,Action,7 Minutes Of Justice
Resource,Information,A Modern Party
Resource,Contacting officials,Call Your Rep
Resource,Contacting officials,CallTrump.how
Resource,Call to action,Civik Owl
Resource,Information,Code Against Trump
Resource,Information,Corrupt AF
Resource,Call to action,Couch Activism
Resource,Call to action,Daily Action (daily text alerts)
Resource,Call to action,Daily Grab Back
Resource,Call to action,Daily Resistance (daily Facebook messages)
Resource,Call to action,Damsels in Defiance
Resource,Information,Design Solutions for Fake News
Resource,Information,Digital Organizing Trainings
Resource,Information,Digital Security Trainings
Resource,Action,Do A Thing
Resource,Action,Do Something dot org
Resource,Action,Donate Bigly
Resource,Action,Dream Corps
Resource,Actions,Easy Activism
Resource,Action,Emergent Fund
Resource,Information,endgerrymandering.com
Resource,Information,Equality North Carolina
Resource,Information,Fact Base
Resource,Action,Five Minute Resistance
Resource,Information,Foundation Funding US Democracy
Resource,Information,Funny or Die
Resource,Information,Help The Lawyers
Resource,Action,Here To Stay Network
Resource,Information,Hi From The Other Side
Resource,Action,High Five Action
Resource,Action,Homecoming Project
Resource,Information,How to America
Resource,Information,How to Fight Back
Resource,Information,IssueVoter
Resource,Call to action,Progressive Action Daily
Resource,Education,Rules At Risk
Think Tank,General progressive,Campaign for America's Future
Think Tank,General progressive,Center for American Progress (CAP)
Think Tank,General progressive,Constitutional Accountability Center (CAC)
Think Tank,Single issue,Data & Society
Think Tank,General progressive,Demos
Think tank,Single issue,Economic Policy Institute (EPI)
Think tank,Single issue,Environmental Defense Fund
Think tank,Single issue,FRAC
Think tank,Single issue,House Future Forum
Think tank,Single issue,Human Right Watch
Type,Subtype,Organization
Vendor,,18F
Vendor,,Creative Caucus
Vendor,,CrowdPAC
Vendor,,Crowdring
Vendor,,Defiant
Vendor,,Democracy Earth Foundation
Vendor,,Democracy Engine
Vendor,,Democracy Lab
Vendor,,Design for Resistance
Vendor,,E The People
Vendor,,Empower Engine
Vendor,,Firechat
Vendor,,HelloGov
Volunteer,,Code for America Brigades
Volunteer,,Data For Democracy
Volunteer,,DataKind
Volunteer,,DevProgress
Volunteer,,Digital Security Exchange
Volunteer,,Experiments in the Public Interest
Volunteer,,FUSE Corps
Volunteer,,Humanitarian Openstreetmap Team
Volunteer,,Progressive Coders Network
Volunteer,,Ragtag
